Trade Date,Market Code,Transaction Type,Instrument Code,Comments,Quantity,Price,Amount
18/08/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.02203682,64.4376,1.42
18/08/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.0059372,101.0577,0.6
18/08/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.04146367,19.294,0.8
18/08/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00175171,616.54,1.08000002
01/09/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00730831,50.08,0.366
01/09/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.16056742,62.74,10.074
01/09/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.03143913,86.58,2.722
01/09/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.05448855,60.71,3.308
01/09/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00931871,99.37,0.926
01/09/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.0368558,19.21,0.708
01/09/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.0032745,579.02,1.89600001
16/09/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00718348,50.115,0.36
16/09/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.1313562,62.38,8.194
16/09/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.11996119,82.46,9.892
16/09/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.00217725,61.5455,0.134
16/09/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00335712,99.49,0.334
16/09/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.02724923,19.2299,0.524
16/09/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.0009675,580.88,0.56200001
19/09/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00056149,61.94,0.03477868
29/09/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.23569148,59.51,14.026
29/09/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.05262359,79.09,4.162
29/09/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.0304455,58.6622,1.786
29/09/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00010146,98.56,0.01
29/09/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00002788,573.9799,0.01599998
13/10/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01013567,50.12,0.508
13/10/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.13011411,60.47,7.868
13/10/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.1009165,78.56,7.928
13/10/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.01060177,59.99,0.636
13/10/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00780597,98.13,0.766
13/10/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.04296916,19.13,0.822
13/10/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.0025801,570.52,1.47200002
14/10/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00252704,61.19,0.15462941
17/10/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00383688,50.13,0.19234283
17/10/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.05740625,60.31,3.46217099
17/10/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.01921565,78.4093,1.50668552
17/10/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.00741145,61.42,0.45521137
